customer_id,customer_taxonomies
C001,At-Risk Customers
C002,Regular Customers
C003,High-Value Customers
C004,Regular Customers
C005,Regular Customers
C006,Regular Customers
C007,Regular Customers
C008,Regular Customers
C009,Regular Customers
C010,At-Risk Customers
C011,Regular Customers
C012,Regular Customers
C013,High-Value Customers
C014,Regular Customers
C015,High-Value Customers
C016,Regular Customers
C017,High-Value Customers
C018,High-Value Customers
C019,Regular Customers
C020,Regular Customers
C021,At-Risk Customers
C022,Regular Customers
C023,Regular Customers
C024,High-Value Customers
C025,High-Value Customers
C026,At-Risk Customers
C027,Regular Customers
C028,Regular Customers
C029,High-Value Customers
C030,High-Value Customers
C031,At-Risk Customers
C032,High-Value Customers
C033,Regular Customers
C034,High-Value Customers
C035,High-Value Customers
C036,At-Risk Customers
C037,At-Risk Customers
C038,Regular Customers
C039,At-Risk Customers
C040,Regular Customers
C041,At-Risk Customers
C042,At-Risk Customers
C043,Regular Customers
C044,Regular Customers
C045,High-Value Customers
C046,High-Value Customers
C047,High-Value Customers
C048,Regular Customers
C049,Regular Customers
C050,Regular Customers
